country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e
Malaysia,Kedah,30,676030,77913295,115,5259923,3190382,2069541,1257422,3540028,2069481,3310479,3698004,4106015,3179279,5351493,4130121,6951273,4426538,5107978,3816707,8717694,8274821,9518175,10250117,8404860,6893634,5029638,4312246,3372310
Malaysia,Kedah,50,653738,76361813,117,5182171,3043078,2139093,1227965,3493798,2042822,3256237,3647163,4073760,3157830,5321413,4101605,6933064,4414532,5084614,3771474,8591288,8186650,9384036,10113184,8234287,6706408,4835009,4179142,3251492
Malaysia,Kedah,75,581666,70202887,121,4662488,2592693,2069795,987049,2920308,1624265,2771805,3091245,3536340,2885011,4904055,3669498,6542114,4303841,4914278,3475456,7878475,7597075,8605680,9328523,7338403,5791824,4097674,3562255,2749556
Malaysia,Kelantan,0,1513205,165113057,109,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,10,1361094,164872652,121,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,15,1355454,164591771,121,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,20,1351764,164399244,122,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,25,1349451,164282350,122,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,30,1344075,163993524,122,13094445,5912193,7182252,4294011,3870165,3040321,6649602,6385643,6363530,13960966,7472625,19492397,19433725,13752514,24206068,11298874,26676856,16326586,18271263,14333971,16709363,19215005,10893225,13107446,12323633
Malaysia,Kelantan,50,1325417,162853893,123,13041853,5775557,7266295,4268608,3843467,3023683,6617988,6353182,6344057,13914702,7453993,19448486,19396567,13739097,24165283,11256063,26540730,16229731,18173369,14276935,16642822,19111237,10825580,13030916,12264266
Malaysia,Kelantan,75,1256211,157521747,125,12619100,5257128,7361972,4091119,3660057,2898087,6378606,6124592,6165934,13492168,7259112,18989194,19011918,13585832,23823093,10834686,25528999,15440537,17300029,13820872,16141961,18389474,10344948,12511923,11827058
Malaysia,Kuala Lumpur,0,27198,518053,19,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kuala Lumpur,10,6860,507628,74,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kuala Lumpur,15,5685,456774,80,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kuala Lumpur,20,5485,446937,81,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kuala Lumpur,25,5109,428862,84,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kuala Lumpur,30,4827,414389,86,28070,32324,-4254,16189,55547,22927,75157,36953,36568,26549,27813,39754,39292,17537,25988,978,26992,16435,21972,54600,36194,16472,6270,11037,6327
Malaysia,Kuala Lumpur,50,3914,357079,91,25948,27459,-1511,14503,51418,21538,66260,33494,34651,24880,27488,38852,37977,17307,24398,921,24708,14686,17635,49953,34028,15140,5571,9886,5571
Malaysia,Kuala Lumpur,75,2446,242429,99,18089,20352,-2263,8987,32763,15492,35508,20987,23469,17463,24898,33162,32252,15135,18572,715,14251,8796,10479,31468,27246,10911,3979,7847,3582
Malaysia,Labuan,0,9066,436021,48,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Labuan,10,4730,426512,90,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Labuan,15,4599,419801,91,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Labuan,20,4527,415628,92,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Labuan,25,4480,413030,92,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Labuan,30,4323,403863,93,22300,27172,-4872,11563,10525,7148,5786,13302,11292,23850,20062,18570,12448,30160,65894,9577,37099,44576,65514,20015,16358,10357,16944,16950,22610
Malaysia,Labuan,50,3926,378890,97,21302,25112,-3810,11474,10166,6909,5786,13051,11100,23641,19699,18425,12241,29903,65320,9195,35219,41509,58778,18581,14984,9128,15980,16132,21418
Malaysia,Labuan,75,3014,310672,103,17973,20481,-2508,11101,9047,6153,5267,12272,9977,21547,18265,16762,11258,28025,60626,7715,29299,33966,42594,14600,12255,5215,11092,12329,16032
Malaysia,Melaka,0,165403,9575243,58,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,10,117339,9527472,81,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,15,115661,9445345,82,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,20,114475,9384085,82,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,25,113794,9349258,82,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,30,112675,9291768,82,1155546,697196,458350,816616,796675,439689,485070,1547516,807212,1396922,910917,1455432,264055,1261246,1088913,470081,2027517,1105845,2256715,1866030,1768802,1877576,1039320,943834,796033
Malaysia,Melaka,50,106873,8942334,84,1138113,656313,481800,809720,788776,435240,482360,1535267,802999,1389098,905291,1446555,262806,1256976,1080426,460289,1999205,1091302,2211409,1833467,1728464,1830325,1006217,915890,766407
Malaysia,Melaka,75,88815,7609803,86,1025280,531633,493647,745348,713996,387155,451420,1402996,747163,1305758,839144,1358265,252938,1212677,1021736,398814,1825729,1007599,1957848,1622922,1507816,1553730,841555,766417,635147
Malaysia,Negeri Sembilan,0,666738,59420574,89,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Negeri Sembilan,10,570930,59306691,104,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Negeri Sembilan,15,567096,59110058,104,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Negeri Sembilan,20,564138,58949675,104,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Negeri Sembilan,25,562530,58863446,105,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Negeri Sembilan,30,559821,58715699,105,5462467,3117364,2345103,5649208,6817518,2415427,2996328,4580737,3269610,4845624,4506273,9115080,2531501,7957214,12982002,3280956,7768059,4891627,8353096,7330371,6174179,4796904,3383042,3740996,2788519
Malaysia,Negeri Sembilan,50,544976,57769100,106,5409497,2998553,2410944,5619168,6779769,2394307,2964779,4542208,3249884,4825515,4495590,9090722,2525094,7945914,12944623,3259410,7684370,4846879,8227399,7216839,6060582,4700678,3281383,3635122,2718690
Malaysia,Negeri Sembilan,75,487265,53251141,109,5022711,2567989,2454722,5213139,6223670,2106921,2685311,4103547,3031942,4579560,4358202,8817691,2442543,7790578,12666503,3091444,7132273,4538282,7419420,6517284,5425890,4157887,2756589,3068649,2372316
Malaysia,Pahang,0,3585238,422471528,118,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pahang,10,3327704,422127448,127,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pahang,15,3316955,421598747,127,,,,,,,,,,,,,,,,,,,,,,,,,
