"iso","area__ha","gfw_planted_forests__type"
"MYS",5879045.60519394637029095,"Oil Palm"
"MYS",1900468.39125914688239932,"Rubber Mix"
"MYS",1387103.22346695315468541,"Unknown"
"MYS",473047.25029825492061338,"Fruit Mix"
"MYS",415360.84799874941964167,"Rubber"
"MYS",269584.81357655472086504,"Wood fiber / Timber"
"MYS",222683.86812300140787828,"Oil Palm Mix"
"MYS",81285.25510776207984631,"Fruit"
