Longitude,Latitude,text_annotation,text_annotation2
101.694565,2.527802,Only Putrajaya had a net,gain in tree cover (-2.95% loss)
113.645032,0.853110,Sabah and Sarawak have the highest absolute tree,losses but their large area lowers the percentage loss
