"alert__week","alert__year","alert__count","confidence__cat"
31,2021,7,"l"
31,2021,340,"n"
31,2021,9,"h"
30,2021,14,"l"
30,2021,10,"h"
30,2021,571,"n"
29,2021,29,"h"
29,2021,17,"l"
29,2021,687,"n"
28,2021,4,"l"
28,2021,114,"n"
27,2021,2,"h"
27,2021,85,"n"
26,2021,1,"l"
26,2021,110,"n"
25,2021,3,"l"
25,2021,126,"n"
25,2021,2,"h"
24,2021,119,"n"
24,2021,1,"l"
23,2021,110,"n"
23,2021,1,"l"
22,2021,1,"l"
22,2021,239,"n"
21,2021,7,"l"
21,2021,160,"n"
20,2021,1,"l"
20,2021,37,"n"
19,2021,111,"n"
19,2021,1,"l"
18,2021,52,"n"
17,2021,2,"h"
17,2021,4,"l"
17,2021,95,"n"
16,2021,242,"n"
16,2021,3,"h"
16,2021,8,"l"
15,2021,164,"n"
15,2021,5,"l"
14,2021,1,"h"
14,2021,132,"n"
14,2021,4,"l"
13,2021,113,"n"
13,2021,2,"h"
13,2021,6,"l"
12,2021,29,"n"
11,2021,305,"n"
11,2021,31,"l"
11,2021,1,"h"
10,2021,49,"l"
10,2021,347,"n"
10,2021,7,"h"
9,2021,10,"l"
9,2021,9,"h"
9,2021,465,"n"
8,2021,114,"l"
8,2021,15,"h"
8,2021,725,"n"
7,2021,3,"h"
7,2021,34,"l"
7,2021,328,"n"
6,2021,2,"h"
6,2021,159,"n"
6,2021,2,"l"
5,2021,1,"h"
5,2021,111,"n"
5,2021,7,"l"
4,2021,1,"l"
4,2021,74,"n"
3,2021,1,"l"
3,2021,40,"n"
2,2021,10,"n"
1,2021,20,"n"
53,2020,40,"n"
53,2020,2,"l"
52,2020,45,"n"
51,2020,13,"n"
50,2020,36,"n"
49,2020,42,"n"
48,2020,12,"n"
47,2020,47,"n"
47,2020,2,"l"
46,2020,1,"h"
46,2020,75,"n"
45,2020,26,"n"
44,2020,62,"n"
44,2020,1,"h"
43,2020,2,"h"
43,2020,59,"n"
43,2020,2,"l"
42,2020,78,"n"
42,2020,1,"l"
41,2020,58,"n"
40,2020,129,"n"
40,2020,4,"l"
40,2020,1,"h"
39,2020,114,"n"
39,2020,1,"l"
39,2020,1,"h"
38,2020,83,"n"
38,2020,1,"l"
37,2020,2,"l"
37,2020,103,"n"
36,2020,121,"n"
36,2020,1,"h"
35,2020,392,"n"
35,2020,12,"l"
35,2020,2,"h"
34,2020,234,"n"
34,2020,4,"h"
34,2020,8,"l"
33,2020,1,"h"
33,2020,2,"l"
33,2020,277,"n"
32,2020,6,"l"
32,2020,9,"h"
32,2020,318,"n"
31,2020,24,"n"
30,2020,99,"n"
29,2020,2,"l"
29,2020,118,"n"
29,2020,6,"h"
28,2020,67,"n"
28,2020,1,"l"
27,2020,73,"n"
27,2020,1,"l"
26,2020,34,"n"
26,2020,1,"l"
25,2020,59,"n"
24,2020,1,"h"
24,2020,103,"n"
23,2020,1,"l"
23,2020,70,"n"
22,2020,4,"h"
22,2020,132,"n"
22,2020,1,"l"
21,2020,1,"l"
21,2020,1,"h"
21,2020,101,"n"
20,2020,120,"n"
20,2020,2,"l"
20,2020,3,"h"
19,2020,117,"n"
19,2020,3,"l"
19,2020,1,"h"
18,2020,52,"n"
18,2020,2,"l"
17,2020,8,"h"
17,2020,1,"l"
17,2020,281,"n"
16,2020,20,"h"
16,2020,492,"n"
16,2020,29,"l"
15,2020,15,"l"
15,2020,318,"n"
15,2020,2,"h"
14,2020,31,"l"
14,2020,14,"h"
14,2020,437,"n"
13,2020,9,"h"
13,2020,332,"n"
13,2020,23,"l"
12,2020,15,"h"
12,2020,607,"n"
12,2020,87,"l"
11,2020,546,"n"
11,2020,33,"l"
11,2020,15,"h"
10,2020,2,"h"
10,2020,247,"n"
9,2020,475,"n"
9,2020,15,"h"
9,2020,51,"l"
8,2020,6,"h"
8,2020,376,"n"
8,2020,7,"l"
7,2020,10,"l"
7,2020,4,"h"
7,2020,176,"n"
6,2020,5,"h"
6,2020,324,"n"
6,2020,9,"l"
5,2020,5,"l"
5,2020,3,"h"
5,2020,192,"n"
4,2020,12,"h"
4,2020,291,"n"
4,2020,7,"l"
3,2020,7,"h"
3,2020,1,"l"
3,2020,223,"n"
2,2020,2,"l"
2,2020,87,"n"
2,2020,2,"h"
1,2020,1,"h"
1,2020,99,"n"
1,2020,2,"l"
52,2019,149,"n"
52,2019,4,"h"
52,2019,6,"l"
51,2019,74,"n"
51,2019,1,"l"
51,2019,2,"h"
50,2019,2,"h"
50,2019,51,"n"
50,2019,4,"l"
49,2019,56,"n"
49,2019,1,"l"
48,2019,71,"n"
47,2019,65,"n"
47,2019,2,"h"
47,2019,4,"l"
46,2019,3,"l"
46,2019,4,"h"
46,2019,142,"n"
45,2019,2,"h"
45,2019,61,"n"
44,2019,72,"n"
44,2019,3,"l"
44,2019,1,"h"
43,2019,78,"n"
43,2019,1,"l"
42,2019,2,"l"
42,2019,3,"h"
42,2019,152,"n"
41,2019,2,"h"
41,2019,151,"n"
41,2019,1,"l"
40,2019,156,"n"
40,2019,5,"l"
40,2019,5,"h"
39,2019,7,"h"
39,2019,341,"n"
39,2019,11,"l"
38,2019,526,"n"
38,2019,17,"l"
38,2019,24,"h"
37,2019,4,"h"
37,2019,485,"n"
37,2019,16,"l"
36,2019,32,"l"
36,2019,691,"n"
36,2019,36,"h"
35,2019,4,"h"
35,2019,18,"l"
35,2019,303,"n"
34,2019,416,"n"
34,2019,11,"h"
34,2019,12,"l"
33,2019,610,"n"
33,2019,5,"h"
33,2019,5,"l"
32,2019,29,"h"
32,2019,789,"n"
32,2019,11,"l"
31,2019,42,"h"
31,2019,848,"n"
31,2019,18,"l"
30,2019,4,"h"
