"alert__week","alert__year","alert__count","confidence__cat"
8,2014,24,"h"
7,2014,20,"h"
7,2014,71,"l"
7,2014,855,"n"
6,2014,22,"h"
6,2014,967,"n"
6,2014,36,"l"
5,2014,667,"n"
5,2014,34,"l"
5,2014,21,"h"
4,2014,4,"h"
4,2014,5,"l"
4,2014,197,"n"
3,2014,56,"n"
3,2014,1,"l"
2,2014,3,"l"
2,2014,47,"n"
1,2014,67,"n"
52,2013,20,"n"
51,2013,1,"l"
51,2013,34,"n"
50,2013,50,"n"
49,2013,50,"n"
49,2013,2,"l"
48,2013,66,"n"
47,2013,55,"n"
46,2013,85,"n"
45,2013,4,"l"
45,2013,99,"n"
45,2013,1,"h"
44,2013,8,"l"
44,2013,262,"n"
44,2013,6,"h"
43,2013,2,"l"
43,2013,123,"n"
42,2013,6,"l"
42,2013,289,"n"
42,2013,4,"h"
41,2013,131,"n"
41,2013,4,"h"
41,2013,14,"l"
40,2013,16,"h"
40,2013,185,"n"
40,2013,12,"l"
39,2013,12,"h"
39,2013,757,"n"
39,2013,35,"l"
38,2013,69,"l"
38,2013,596,"n"
38,2013,9,"h"
37,2013,45,"n"
36,2013,217,"n"
36,2013,6,"l"
35,2013,32,"h"
35,2013,666,"n"
35,2013,14,"l"
34,2013,33,"h"
34,2013,47,"l"
34,2013,951,"n"
33,2013,56,"l"
33,2013,1228,"n"
33,2013,76,"h"
32,2013,7,"l"
32,2013,285,"n"
32,2013,3,"h"
31,2013,10,"h"
31,2013,463,"n"
31,2013,18,"l"
30,2013,1059,"n"
30,2013,66,"h"
30,2013,17,"l"
29,2013,8,"l"
29,2013,204,"n"
28,2013,2,"h"
28,2013,127,"n"
28,2013,1,"l"
27,2013,133,"n"
27,2013,1,"h"
27,2013,1,"l"
26,2013,17,"l"
26,2013,492,"n"
26,2013,10,"h"
25,2013,41,"l"
25,2013,1424,"n"
25,2013,83,"h"
24,2013,10,"l"
24,2013,28,"h"
24,2013,392,"n"
23,2013,2,"h"
23,2013,3,"l"
23,2013,335,"n"
22,2013,12,"l"
22,2013,216,"n"
22,2013,13,"h"
21,2013,1,"h"
21,2013,13,"l"
21,2013,311,"n"
20,2013,3,"l"
20,2013,3,"h"
20,2013,245,"n"
19,2013,1,"l"
19,2013,108,"n"
19,2013,2,"h"
18,2013,3,"l"
18,2013,197,"n"
18,2013,4,"h"
17,2013,8,"h"
17,2013,2,"l"
17,2013,255,"n"
16,2013,24,"l"
16,2013,213,"n"
15,2013,77,"n"
15,2013,6,"l"
14,2013,1,"h"
14,2013,243,"n"
14,2013,6,"l"
13,2013,3,"h"
13,2013,15,"l"
13,2013,445,"n"
12,2013,6,"h"
12,2013,630,"n"
12,2013,28,"l"
11,2013,13,"h"
11,2013,502,"n"
11,2013,26,"l"
10,2013,12,"l"
10,2013,285,"n"
10,2013,1,"h"
9,2013,2,"l"
9,2013,78,"n"
8,2013,13,"l"
8,2013,89,"n"
7,2013,98,"n"
6,2013,5,"l"
6,2013,3,"h"
6,2013,187,"n"
5,2013,14,"h"
5,2013,32,"l"
5,2013,624,"n"
4,2013,4,"l"
4,2013,224,"n"
4,2013,4,"h"
3,2013,3,"h"
3,2013,1,"l"
3,2013,106,"n"
2,2013,26,"n"
1,2013,39,"n"
52,2012,46,"n"
51,2012,1,"h"
51,2012,85,"n"
50,2012,3,"l"
50,2012,65,"n"
49,2012,136,"n"
49,2012,5,"l"
48,2012,5,"l"
48,2012,60,"n"
48,2012,4,"h"
47,2012,113,"n"
47,2012,6,"l"
46,2012,1,"h"
46,2012,2,"l"
46,2012,120,"n"
45,2012,39,"n"
44,2012,89,"n"
44,2012,4,"l"
43,2012,237,"n"
43,2012,8,"h"
43,2012,18,"l"
42,2012,107,"n"
42,2012,1,"h"
42,2012,3,"l"
41,2012,154,"n"
41,2012,10,"l"
40,2012,7,"l"
40,2012,11,"h"
40,2012,411,"n"
39,2012,16,"h"
39,2012,290,"n"
39,2012,11,"l"
38,2012,2,"h"
38,2012,19,"l"
38,2012,386,"n"
37,2012,581,"n"
37,2012,15,"l"
37,2012,24,"h"
36,2012,21,"l"
36,2012,12,"h"
36,2012,962,"n"
35,2012,16,"h"
35,2012,325,"n"
35,2012,10,"l"
34,2012,20,"l"
34,2012,3,"h"
34,2012,416,"n"
33,2012,35,"l"
33,2012,11,"h"
33,2012,693,"n"
32,2012,1001,"n"
32,2012,20,"h"
32,2012,15,"l"
31,2012,54,"l"
31,2012,94,"h"
31,2012,1845,"n"
30,2012,15,"l"
30,2012,579,"n"
30,2012,11,"h"
29,2012,2,"h"
29,2012,5,"l"
29,2012,110,"n"
28,2012,1,"l"
28,2012,4,"h"
28,2012,129,"n"
27,2012,5,"h"
27,2012,15,"l"
27,2012,360,"n"
26,2012,1038,"n"
26,2012,38,"h"
26,2012,34,"l"
25,2012,84,"l"
25,2012,103,"h"
25,2012,2184,"n"
24,2012,71,"h"
24,2012,95,"l"
24,2012,1523,"n"
23,2012,6,"h"
23,2012,20,"l"
23,2012,328,"n"
22,2012,26,"l"
22,2012,4,"h"
22,2012,380,"n"
21,2012,14,"h"
21,2012,6,"l"
21,2012,561,"n"
20,2012,7,"h"
20,2012,556,"n"
20,2012,15,"l"
19,2012,300,"n"
19,2012,6,"h"
19,2012,14,"l"
18,2012,2,"l"
18,2012,3,"h"
18,2012,185,"n"
17,2012,6,"l"
17,2012,209,"n"
16,2012,2,"h"
16,2012,76,"n"
15,2012,3,"h"
15,2012,100,"n"
15,2012,3,"l"
14,2012,140,"n"
14,2012,1,"l"
14,2012,2,"h"
13,2012,116,"n"
13,2012,16,"h"
13,2012,4,"l"
12,2012,11,"l"
12,2012,5,"h"
12,2012,257,"n"
11,2012,1,"h"
11,2012,64,"n"
11,2012,5,"l"
10,2012,38,"n"
10,2012,1,"l"
9,2012,1,"h"
9,2012,87,"n"
9,2012,5,"l"
8,2012,169,"n"
8,2012,1,"l"
7,2012,3,"l"
7,2012,2,"h"
7,2012,152,"n"
6,2012,20,"l"
6,2012,2,"h"
6,2012,368,"n"
5,2012,1,"h"
5,2012,99,"n"
4,2012,8,"l"
4,2012,1,"h"
4,2012,63,"n"
3,2012,31,"n"
3,2012,4,"l"
1,2012,7,"n"
